,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
1222,Audi A4,13,Comprehensive,Diesel,5,72000,First Owner,Automatic,2013,16,1968,1968.0,14751.0,11.9
1223,Honda City,12,Comprehensive,Petrol,5,102614,First Owner,Manual,2012,16,1497,1497.0,1164.0,4.01
1224,Honda City,17,Comprehensive,Petrol,5,78911,Second Owner,Manual,2017,17,1497,1497.0,1173.0,6.37
1225,BMW X5,15,Comprehensive,Diesel,5,99000,First Owner,Automatic,2015,15,2993,2993.0,258.0,28.9
1226,Hyundai Grand,17,Third Party,Petrol,5,47975,Second Owner,Manual,2017,18,1197,1197.0,8186.0,4.96
1227,Mercedes-Benz C-Class,18,Comprehensive,Diesel,5,56000,First Owner,Automatic,2018,19,2143,2143.0,16762.0,29.5
1228,Mercedes-Benz GL-Class,,Third Party insurance,Diesel,7,121000,First Owner,Automatic,2014,11,2987,2987.0,2548.0,35.0
1229,Mercedes-Benz M-Class,15,Comprehensive,Diesel,5,78000,First Owner,Automatic,2015,15,2143,2143.0,2032.0,23.9
1230,BMW X6,15,Comprehensive,Diesel,5,75000,Second Owner,Automatic,2015,15,2993,2993.0,30843.0,32.9
1231,Land Rover,20,Comprehensive,Diesel,5,44000,First Owner,Automatic,2020,1999,2454,2454.0,430.0,53.5
1232,Maruti Celerio,19,Comprehensive,Petrol,5,42000,First Owner,Automatic,2019,23,998,998.0,6704.0,4.5
1233,Maruti Ciaz,,Third Party insurance,Diesel,5,32141,1248 cc,2017,Power Steering,1248,885,885.0,200.0,6.0
1234,Maruti Baleno,,Third Party insurance,Petrol,5,60000,Third Owner,Automatic,2018,21,1197,1197.0,831.0,5.1
1235,Hyundai Grand,15,Third Party insurance,Petrol,5,64657,First Owner,Manual,2015,1197,82,82.0,114.0,4.02
1236,Honda Jazz,18,Comprehensive,Petrol,5,100657,First Owner,Automatic,2018,19,1199,1199.0,887.0,5.67
1237,Hyundai Creta,18,Comprehensive,Petrol,5,32000,First Owner,Automatic,2018,13,1591,1591.0,1213.0,10.9
1238,Honda Brio,12,Third Party,Petrol,5,50570,First Owner,Manual,2012,19,1198,1198.0,868.0,2.8
1239,Hyundai Grand,16,Third Party,Petrol,5,42392,First Owner,Manual,2016,18,1197,1197.0,82.0,5.13
1240,Ford Ecosport,14,Third Party insurance,Diesel,5,78000,Second Owner,Manual,2014,22,1498,1498.0,8984.0,3.75
1241,Hyundai Grand,16,Third Party,Petrol,5,62155,First Owner,Manual,2015,1197,82,82.0,114.0,4.19
1242,Maruti SX4,,Third Party insurance,Petrol,5,100000,Second Owner,Manual,2007,15,1586,1586.0,10468.0,1.55
1243,Hyundai i20,16,Comprehensive,Diesel,5,94822,Third Owner,Manual,2016,22,1396,1396.0,8873.0,5.43
1244,Hyundai EON,16,Third Party insurance,Petrol,5,59422,First Owner,Manual,2016,814,552,552.0,745.0,2.91
1245,Kia Seltos,20,Comprehensive,Petrol,5,82000,First Owner,Automatic,2020,1497,11343,11343.0,144.0,13.9
1246,Hyundai Verna,18,Third Party,Petrol,5,70727,Second Owner,Automatic,2017,17,1591,1591.0,1213.0,9.12
1247,Kia Seltos,20,Comprehensive,Petrol,5,79000,First Owner,Automatic,2020,1497,11343,11343.0,144.0,12.9
1248,Renault Duster,,Third Party insurance,Diesel,5,120000,Second Owner,Manual,2014,19,1461,1461.0,10845.0,3.45
1249,Renault Scala,,Third Party insurance,Diesel,5,120000,First Owner,Manual,2012,21,1461,1461.0,848.0,2.25
1250,Hyundai Elantra,,Third Party insurance,Diesel,5,120000,Third Owner,Manual,2013,22,1582,1582.0,12624.0,4.0
1251,Mahindra TUV,16,Comprehensive,Diesel,7,70000,First Owner,Automatic,2016,18,1493,1493.0,100.0,6.15
1252,BMW X1,17,Comprehensive,Diesel,5,61000,First Owner,Automatic,2017,20,1995,1995.0,188.0,19.75
1253,Honda Amaze,14,Comprehensive,Petrol,5,92000,First Owner,Manual,2014,18,1198,1198.0,867.0,3.6
1254,Honda BR-V,16,Third Party insurance,Petrol,7,58857,First Owner,Manual,2016,15,1497,1497.0,1173.0,6.5
1255,Maruti Wagon,16,Comprehensive,Petrol,5,68237,First Owner,Manual,2016,20,998,998.0,6704.0,3.89
1256,Maruti Baleno,21,Zero Dep,Petrol,5,31237,First Owner,Manual,2021,21,1197,1197.0,8180.0,7.27
1257,Hyundai Xcent,17,Third Party insurance,Petrol,5,45000,First Owner,Manual,2017,20,1197,1197.0,8186.0,4.95
1258,Maruti Swift,12,Third Party,Diesel,5,93027,First Owner,Manual,2012,22,1248,1248.0,74.0,3.71
1259,Maruti Swift,14,Third Party,Diesel,5,122688,Second Owner,Manual,2014,23,1248,1248.0,74.0,4.22
1260,Honda Amaze,20,Comprehensive,Diesel,5,53000,First Owner,Manual,2020,25,1498,1498.0,986.0,6.75
1261,Maruti Celerio,19,Zero Dep,Petrol,5,60464,First Owner,Manual,2019,21,998,998.0,6705.0,4.6
1262,Nissan Magnite,,Third Party insurance,Petrol,5,10000,999 cc,2023,Power Steering,999,7102,7102.0,96.0,8.5
1263,Honda City,14,Third Party,Petrol,5,40171,First Owner,Manual,2014,17,1497,1497.0,1173.0,5.17
1264,Honda Amaze,19,Third Party,Petrol,5,122223,First Owner,Manual,2018,17,1198,1198.0,867.0,5.8
1265,Hyundai i10,10,Third Party insurance,Petrol,5,44000,First Owner,Manual,2010,1086,6805,6805.0,9904.0,2.4
1266,Hyundai Grand,15,Third Party,Petrol,5,77299,Second Owner,Automatic,2015,18,1197,1197.0,82.0,4.79
1267,Tata Harrier,19,Comprehensive,Diesel,5,39000,First Owner,Manual,2019,16,1956,1956.0,16767.0,13.95
1268,Jeep Compass,,Third Party insurance,Diesel,5,120000,Second Owner,Manual,2018,17,1956,1956.0,170.0,11.0
1269,MG Astor,22,Zero Dep,Petrol,5,29000,First Owner,Manual,2022,15,1498,1498.0,10849.0,12.9
1270,Honda Jazz,17,Comprehensive,Petrol,5,60000,First Owner,Manual,2017,18,1199,1199.0,887.0,4.75
1271,Hyundai i20,17,Comprehensive,Diesel,5,80000,First Owner,Manual,2017,22,1396,1396.0,8873.0,6.9
1272,Ford Ecosport,15,Comprehensive,Diesel,5,78000,First Owner,Manual,2015,21,1498,1498.0,9896.0,5.5
1273,Honda Amaze,16,Comprehensive,Diesel,5,58000,First Owner,Manual,2016,24,1498,1498.0,9789.0,5.5
1274,Hyundai Grand,15,Third Party insurance,Diesel,5,67000,First Owner,Manual,2015,1120,70,70.0,160.0,4.25
1275,Maruti Swift,14,Comprehensive,Petrol,5,44019,Second Owner,Manual,2014,18,1197,1197.0,858.0,3.15
1276,Maruti Celerio,21,Comprehensive,Petrol,5,11962,First Owner,Manual,2021,24,998,998.0,6571.0,5.69
1277,Maruti Alto,09,Comprehensive,Petrol,5,44002,Third Owner,Manual,2009,19,796,796.0,463.0,95000.0
1278,Maruti Alto,20,Comprehensive,Petrol,5,13066,First Owner,Manual,2020,22,796,796.0,4733.0,3.69
1279,Hyundai Grand,16,Comprehensive,Petrol,5,36015,First Owner,Manual,2016,18,1197,1197.0,82.0,3.61
1280,Hyundai i20,21,Third Party insurance,Petrol,5,14000,Second Owner,Automatic,2021,19,1197,1197.0,8676.0,6.99
1281,Maruti Wagon,20,Comprehensive,CNG,5,11880,First Owner,Manual,2020,998,5833,5833.0,78.0,4.74
1282,Hyundai i10,09,Comprehensive,Petrol,5,35000,Second Owner,Manual,2009,1086,6805,6805.0,9904.0,2.25
1283,Maruti Ertiga,15,Comprehensive,Diesel,7,65018,First Owner,Manual,2015,1248,8850,8850.0,200.0,4.75
1284,Maruti Alto,20,Comprehensive,Petrol,5,28061,First Owner,Manual,2020,22,796,796.0,4733.0,3.43
1285,Renault Duster,19,Third Party insurance,Petrol,5,40300,First Owner,Automatic,2019,13,1498,1498.0,105.0,6.5
1286,Maruti Alto,19,Comprehensive,Petrol,5,58231,First Owner,Manual,2019,23,998,998.0,6705.0,3.32
1287,Hyundai Grand,,Third Party insurance,Petrol,5,70000,1197 cc,2017,Power Steering,1197,8186,8186.0,11375.0,4.0
1288,Hyundai i20,21,Third Party insurance,Petrol,5,13000,First Owner,Automatic,2021,20,998,998.0,11841.0,8.9
1289,Maruti Alto,20,Comprehensive,Petrol,5,32997,First Owner,Manual,2020,22,796,796.0,4733.0,3.39
1290,Honda Jazz,15,Comprehensive,Petrol,5,41203,First Owner,Manual,2015,18,1199,1199.0,887.0,3.99
1291,Volkswagen Vento,,Third Party insurance,Diesel,5,90000,1498 cc,2015,Power Steering,1498,1032,1032.0,250.0,3.5
1292,Ford Aspire,19,Comprehensive,Petrol,5,6818,First Owner,Manual,2019,19,1194,1194.0,9493.0,5.4
1293,Honda City,16,Comprehensive,Diesel,5,44000,First Owner,Manual,2016,26,1498,1498.0,986.0,5.5
1294,Honda City,19,Third Party insurance,Diesel,5,29200,First Owner,Manual,2019,25,1498,1498.0,979.0,8.75
1295,Hyundai i10,11,Comprehensive,Petrol,5,16016,First Owner,Manual,2011,1086,6805,6805.0,9904.0,1.85
1296,Maruti S-Presso,20,Comprehensive,Petrol,5,26638,First Owner,Manual,2020,21,998,998.0,6571.0,4.19
1297,Honda City,16,Comprehensive,Diesel,5,44000,First Owner,Manual,2016,26,1498,1498.0,986.0,5.5
1298,Maruti Wagon,20,Comprehensive,CNG,5,18930,First Owner,Manual,2020,998,5833,5833.0,78.0,4.79
1299,Porsche Cayenne,19,Third Party insurance,Petrol,5,5700,First Owner,Automatic,2019,2995,340,340.0,450.0,1.05
1300,Honda City,19,Third Party insurance,Diesel,5,29200,First Owner,Manual,2019,25,1498,1498.0,979.0,8.75
1301,Maruti Wagon,19,Comprehensive,CNG,5,26580,First Owner,Manual,2019,998,5833,5833.0,78.0,4.49
1302,Honda BR-V,18,Comprehensive,Petrol,7,35000,First Owner,Manual,2018,15,1497,1497.0,1173.0,7.45
1303,Audi Q3,18,Comprehensive,Petrol,5,32000,First Owner,Automatic,2018,16,1395,1395.0,14751.0,21.0
1304,Hyundai Creta,19,Comprehensive,Diesel,5,68499,First Owner,Automatic,2019,17,1582,1582.0,1262.0,10.83
1305,Ford Ecosport,18,Comprehensive,Diesel,5,53750,First Owner,Manual,2018,23,1498,1498.0,9896.0,6.85
1306,Maruti Alto,19,Comprehensive,Petrol,5,48341,First Owner,Manual,2019,22,796,796.0,4733.0,3.03
1307,Lamborghini Urus,18,Third Party insurance,Petrol,5,25000,First Owner,Automatic,2018,3996,641,641.0,850.0,3.6
1308,Maruti Wagon,18,Comprehensive,Petrol,5,34260,First Owner,Manual,2018,21,1197,1197.0,8180.0,3.95
1309,Ford Ecosport,18,Comprehensive,Diesel,5,48380,Second Owner,Manual,2018,23,1498,1498.0,9896.0,5.83
1310,Hyundai Creta,18,Third Party insurance,Diesel,5,52000,First Owner,Manual,2018,19,1582,1582.0,1262.0,9.95
1311,Maruti Omni,16,Comprehensive,Petrol,8,23022,Second Owner,Manual,2016,796,342,342.0,59.0,2.25
1312,Maruti Alto,19,Comprehensive,Petrol,5,26610,First Owner,Manual,2019,23,998,998.0,6705.0,3.65
1313,Maruti Ertiga,18,Comprehensive,Diesel,7,66019,First Owner,Manual,2018,24,1498,1498.0,9387.0,7.75
1314,Maruti Alto,14,Comprehensive,Petrol,5,42320,First Owner,Manual,2014,998,671,671.0,90.0,2.29
1315,Maruti Wagon,20,Comprehensive,CNG,5,25484,First Owner,Manual,2020,998,5833,5833.0,78.0,4.77
1316,Maruti Zen,15,Comprehensive,Petrol,5,25171,First Owner,Manual,2013,998,671,671.0,90.0,2.22
1317,Hyundai i20,11,Comprehensive,Diesel,5,78006,Second Owner,Manual,2011,23,1396,1396.0,904000.0,2.55
1318,Nissan Micra,19,Comprehensive,Petrol,5,21607,First Owner,Automatic,2018,19,1198,1198.0,7594.0,4.7
1319,Kia Seltos,19,Comprehensive,Petrol,5,52162,First Owner,Automatic,2019,16,1353,1353.0,13808.0,11.92
1320,BMW 7,16,Comprehensive,Diesel,5,23435,First Owner,Automatic,2016,16,2993,2993.0,26149.0,45.0
1321,Skoda Kushaq,21,Comprehensive,Petrol,5,20336,First Owner,Manual,2021,19,999,999.0,11398.0,12.81
1322,Maruti SX4,18,Comprehensive,Diesel,5,68591,First Owner,Manual,2018,25,1248,1248.0,885.0,6.75
1323,Maruti Swift,14,Comprehensive,Diesel,5,65341,First Owner,Manual,2014,25,1248,1248.0,74.0,3.44
1324,Datsun RediGO,17,Comprehensive,Petrol,5,23329,First Owner,Manual,2017,22,999,999.0,67.0,2.72
1325,Honda City,15,Comprehensive,Diesel,5,84000,First Owner,Manual,2015,25,1498,1498.0,986.0,5.25
1326,Toyota Corolla,18,Comprehensive,Diesel,5,19000,First Owner,Manual,2018,21,1364,1364.0,8679.0,14.95
1327,Maruti Ritz,13,Comprehensive,Diesel,5,100500,Third Owner,Manual,2013,1248,7394,7394.0,190.0,2.45
1328,Ford Ecosport,19,Third Party insurance,Diesel,5,58500,First Owner,Manual,2019,23,1498,1498.0,9896.0,6.65
1329,Volvo S60,18,Comprehensive,Diesel,5,66455,First Owner,Automatic,2018,19,2400,2400.0,190.0,19.35
1330,Maruti Celerio,23,Comprehensive,Petrol,5,1229,First Owner,Manual,2023,24,998,998.0,6571.0,5.9
1331,Audi Q5,22,Third Party insurance,Petrol,5,12100,First Owner,Automatic,2022,245,370,370.0,19.0,50.0
1332,Kia Sonet,21,Comprehensive,Petrol,5,26597,First Owner,Automatic,2021,18,998,998.0,11835.0,9.25
1333,Maruti Swift,15,Comprehensive,Petrol,5,73616,First Owner,Manual,2015,22,1197,1197.0,8180.0,3.75
1334,Hyundai i20,12,Comprehensive,Petrol,5,53657,First Owner,Manual,2011,18,1197,1197.0,805200.0,2.63
1335,Hyundai EON,14,Comprehensive,Petrol,5,37016,First Owner,Manual,2014,814,552,552.0,745.0,2.05
1336,Honda Jazz,17,Comprehensive,Petrol,5,62466,First Owner,Manual,2017,18,1199,1199.0,887.0,3.9
1337,Hyundai Grand,21,Comprehensive,Petrol,5,20041,First Owner,Manual,2021,20,1197,1197.0,8186.0,6.19
1338,Maruti Swift,17,Comprehensive,Petrol,5,49000,First Owner,Manual,2017,21,1197,1197.0,8180.0,3.65
1339,Maruti Swift,14,Comprehensive,Petrol,5,44669,First Owner,Manual,2014,19,1197,1197.0,858.0,3.79
1340,Hyundai Grand,19,Comprehensive,Petrol,5,28500,First Owner,Automatic,2019,20,1197,1197.0,8186.0,5.45
1341,Maruti Wagon,14,Comprehensive,Petrol,5,19843,First Owner,Manual,2014,998,671,671.0,90.0,3.05
1342,Maruti Swift,14,Comprehensive,Petrol,5,44800,First Owner,Manual,2014,19,1197,1197.0,858.0,3.81
1343,Maruti Swift,16,Comprehensive,Petrol,5,44275,First Owner,Manual,2016,21,1197,1197.0,8180.0,3.75
1344,Maruti Swift,20,Comprehensive,Petrol,5,27012,First Owner,Manual,2020,21,1197,1197.0,8180.0,5.45
1345,Maruti Wagon,18,Comprehensive,Petrol,5,35629,First Owner,Automatic,2018,20,1197,1197.0,8180.0,4.25
1346,Maruti Alto,17,Comprehensive,Petrol,5,37009,First Owner,Manual,2017,23,998,998.0,6705.0,2.75
1347,Hyundai i10,11,Comprehensive,Petrol,5,28000,First Owner,Automatic,2011,16,1197,1197.0,789.0,2.7
1348,Hyundai i10,14,Comprehensive,Petrol,5,46022,First Owner,Manual,2014,19,1086,1086.0,6805.0,2.35
1349,Hyundai i10,,Third Party insurance,Petrol,5,100000,First Owner,Manual,2009,1086,6805,6805.0,9904.0,1.25
1350,Maruti Ertiga,18,Comprehensive,Petrol,7,22302,First Owner,Manual,2018,17,1373,1373.0,911.0,6.9
1351,Audi Q8,21,Third Party insurance,Petrol,5,17000,Second Owner,Automatic,2021,9,2995,2995.0,340.0,80.0
1352,Tata Harrier,23,Comprehensive,Diesel,5,7400,First Owner,Automatic,2023,14,1956,1956.0,16767.0,20.25
1353,Datsun RediGO,18,Comprehensive,Petrol,5,17024,Second Owner,Manual,2018,22,799,799.0,5364.0,2.72
1354,Toyota Etios,14,Comprehensive,Diesel,5,71649,First Owner,Manual,2014,23,1364,1364.0,6704.0,3.32
1355,Maruti Wagon,22,Comprehensive,Petrol,5,9016,First Owner,Manual,2022,998,6705,6705.0,90.0,5.05
1356,Toyota Etios,15,Comprehensive,Petrol,5,44999,First Owner,Manual,2015,16,1496,1496.0,8873.0,3.74
1357,Renault Duster,16,Comprehensive,Diesel,5,78106,First Owner,Manual,2016,19,1461,1461.0,838.0,5.1
1358,Hyundai EON,15,Comprehensive,Petrol,5,34016,First Owner,Manual,2015,814,552,552.0,745.0,2.15
1359,Maruti Swift,14,Comprehensive,Diesel,5,85692,First Owner,Manual,2014,25,1248,1248.0,74.0,3.47
1360,Tata Nexon,21,Third Party insurance,Petrol,5,6500,First Owner,Manual,2021,17,1199,1199.0,11835.0,7.98
1361,Hyundai Venue,21,Comprehensive,Petrol,5,35080,First Owner,Manual,2021,18,998,998.0,11835.0,8.99
1362,Volkswagen Polo,16,Comprehensive,Petrol,5,77727,First Owner,Manual,2016,16,1199,1199.0,74.0,3.77
1363,Hyundai i20,14,Comprehensive,Petrol,5,43000,First Owner,Manual,2014,18,1197,1197.0,8285.0,3.49
1364,Hyundai Grand,19,Comprehensive,Petrol,5,30000,First Owner,Manual,2019,18,1197,1197.0,8186.0,4.25
1365,Mahindra NuvoSport,16,Comprehensive,Diesel,7,42364,First Owner,Manual,2016,17,1493,1493.0,100.0,4.5
1366,Honda Brio,15,Comprehensive,Petrol,5,7000,Second Owner,Automatic,2015,16,1198,1198.0,868.0,4.95
1367,Honda Jazz,16,Comprehensive,Petrol,5,54000,First Owner,Manual,2016,18,1199,1199.0,887.0,3.95
1368,Maruti Swift,09,Comprehensive,Petrol,5,45000,First Owner,Manual,2009,17,1298,1298.0,858.0,2.25
1369,Maruti Swift,13,Comprehensive,Petrol,5,44018,First Owner,Manual,2013,19,1197,1197.0,858.0,3.45
1370,Honda Civic,20,Third Party insurance,Petrol,5,18500,First Owner,Automatic,2020,16,1799,1799.0,13946.0,12.9
1371,Hyundai Santro,11,Comprehensive,Petrol,5,43002,First Owner,Manual,2011,17,1086,1086.0,621.0,1.75
1372,Mercedes-Benz GLC,20,Third Party insurance,Petrol,5,13200,First Owner,Automatic,2020,12,1991,1991.0,197.0,50.0
1373,Renault KWID,19,Comprehensive,Petrol,5,69381,First Owner,Manual,2019,23,999,999.0,67.0,3.27
1374,Hyundai Creta,15,Comprehensive,Diesel,5,64275,First Owner,Manual,2015,19,1582,1582.0,1262.0,6.28
1375,Mahindra Thar,21,Comprehensive,Petrol,4,7421,First Owner,Automatic,2021,15,1997,1997.0,150.0,12.49
1376,Honda City,21,Comprehensive,Petrol,5,5252,First Owner,Automatic,2021,18,1498,1498.0,11935.0,12.07
1377,Toyota Etios,15,Comprehensive,Petrol,5,63663,First Owner,Manual,2014,16,1496,1496.0,8873.0,3.41
1378,Honda City,15,Comprehensive,Petrol,5,60545,First Owner,Manual,2015,17,1497,1497.0,1173.0,5.55
1379,Honda Amaze,16,Comprehensive,Petrol,5,85602,First Owner,Manual,2016,17,1198,1198.0,867.0,3.33
1380,Toyota Fortuner,19,Comprehensive,Diesel,7,35902,First Owner,Automatic,2019,15,2755,2755.0,1745.0,28.0
1381,Hyundai Creta,18,Comprehensive,Petrol,5,87172,First Owner,Manual,2018,15,1591,1591.0,1213.0,7.88
1382,Volkswagen Polo,14,Comprehensive,Petrol,5,52950,Second Owner,Manual,2014,16,1198,1198.0,739.0,3.72
1383,Hyundai Verna,16,Comprehensive,Petrol,5,42005,First Owner,Manual,2016,17,1591,1591.0,1213.0,4.71
1384,Hyundai Creta,18,Comprehensive,Petrol,5,64000,First Owner,Manual,2018,15,1591,1591.0,1213.0,8.25
1385,Hyundai Verna,19,Comprehensive,Petrol,5,32000,First Owner,Manual,2019,17,1591,1591.0,1213.0,8.25
1386,Hyundai Creta,18,Comprehensive,Petrol,5,65000,First Owner,Manual,2018,15,1591,1591.0,1213.0,8.5
1387,Hyundai Elantra,18,Comprehensive,Petrol,5,21000,First Owner,Manual,2018,14,1999,1999.0,14992.0,8.85
1388,Toyota Corolla,16,Comprehensive,Petrol,5,39450,First Owner,Automatic,2016,14,1798,1798.0,13803.0,8.15
1389,Hyundai Elantra,19,Comprehensive,Petrol,5,32000,First Owner,Manual,2017,14,1999,1999.0,14992.0,8.85
1390,Honda WR-V,18,Comprehensive,Petrol,5,60314,First Owner,Manual,2018,17,1199,1199.0,887.0,5.75
1391,Hyundai Verna,18,Comprehensive,Petrol,5,4000,First Owner,Manual,2018,19,1368,1368.0,986.0,7.49
1392,Maruti Ciaz,17,Comprehensive,Diesel,5,65000,First Owner,Automatic,2017,28,1248,1248.0,8850.0,5.25
1393,Hyundai Creta,15,Comprehensive,Diesel,5,78019,First Owner,Manual,2015,19,1582,1582.0,1262.0,6.39
1394,Renault Duster,20,Comprehensive,Petrol,5,42970,First Owner,Manual,2020,16,1498,1498.0,10455.0,7.64
1395,Toyota Innova,10,Comprehensive,Diesel,7,176000,First Owner,Manual,2010,12,2494,2494.0,102.0,4.4
1396,Maruti Wagon,19,Comprehensive,Petrol,5,24100,First Owner,Manual,2019,20,1197,1197.0,8180.0,4.74
1397,Maruti Baleno,15,Comprehensive,Petrol,5,51123,First Owner,Manual,2015,21,1197,1197.0,831.0,4.71
1398,Skoda Octavia,16,Comprehensive,Petrol,5,66000,First Owner,Manual,2016,16,1395,1395.0,13802.0,5.95
1399,Maruti Baleno,16,Comprehensive,Diesel,5,48405,First Owner,Manual,2015,27,1248,1248.0,74.0,4.98
1400,Audi A6,13,Comprehensive,Diesel,5,52305,First Owner,Automatic,2013,17,1968,1968.0,17433.0,10.75
1401,Hyundai Grand,15,Comprehensive,Diesel,5,46488,Second Owner,Manual,2015,24,1120,1120.0,70.0,3.71
1402,Hyundai i20,19,Comprehensive,Diesel,5,71842,First Owner,Manual,2018,22,1396,1396.0,8876.0,5.29
1403,Honda City,14,Comprehensive,Diesel,5,91000,Third Owner,Manual,2014,26,1498,1498.0,986.0,3.95
1404,Hyundai i20,13,Comprehensive,Diesel,5,51334,First Owner,Manual,2013,21,1396,1396.0,8876.0,2.8
1405,Toyota Fortuner,16,Comprehensive,Diesel,7,72560,First Owner,Automatic,2016,12,2755,2755.0,1745.0,16.7
1406,Hyundai Santro,18,Comprehensive,Petrol,5,68000,First Owner,Manual,2018,20,1086,1086.0,68.0,3.85
1407,Maruti Swift,14,Comprehensive,Petrol,5,45000,First Owner,Manual,2014,22,1197,1197.0,8850.0,3.6
1408,Mitsubishi Cedia,13,Comprehensive,Petrol,5,44000,First Owner,Manual,2013,13,1999,1999.0,114.0,3.95
1409,Skoda Superb,16,Comprehensive,Petrol,5,47000,First Owner,Automatic,2016,14,1798,1798.0,17746.0,10.95
1410,Toyota Fortuner,16,Comprehensive,Diesel,7,92044,First Owner,Automatic,2016,12,2982,2982.0,1685.0,16.5
1411,Audi Q7,,Third Party insurance,Diesel,7,40000,First Owner,Automatic,2018,14,2967,2967.0,245.0,46.0
1412,Honda City,15,Comprehensive,Petrol,5,60545,First Owner,Manual,2015,17,1497,1497.0,1173.0,5.5
1413,Maruti Ritz,14,Comprehensive,Diesel,5,79097,First Owner,Manual,2014,1248,7394,7394.0,190.0,3.29
1414,Maruti Swift,14,Comprehensive,Petrol,5,68619,Second Owner,Manual,2013,19,1197,1197.0,858.0,3.44
1415,Audi Q5,14,Comprehensive,Diesel,5,34452,First Owner,Automatic,2014,14,1968,1968.0,1743.0,16.75
1416,Hyundai Grand,17,Comprehensive,Diesel,5,40326,First Owner,Manual,2017,24,1186,1186.0,7397.0,5.22
1417,Datsun GO,19,Comprehensive,Petrol,5,40021,First Owner,Manual,2019,19,1198,1198.0,6705.0,3.92
1418,Maruti Wagon,19,Comprehensive,Petrol,5,44000,First Owner,Manual,2019,998,6705,6705.0,90.0,3.99
1419,Maruti Wagon,20,Third Party,Petrol,5,7962,First Owner,Manual,2019,20,1197,1197.0,8180.0,4.89
1420,Toyota Innova,12,Comprehensive,Diesel,7,260000,First Owner,Manual,2012,12,2494,2494.0,102.0,6.25
1421,Nissan Micra,18,Comprehensive,Petrol,5,44508,First Owner,Manual,2018,19,1198,1198.0,6704.0,3.38
1422,Hyundai Elantra,14,Comprehensive,Petrol,5,58958,First Owner,Automatic,2014,14,1797,1797.0,1475.0,5.25
1423,Maruti Ignis,18,Third Party insurance,Petrol,5,44000,Second Owner,Manual,2018,20,1197,1197.0,8180.0,4.65
1424,Toyota Urban,22,Comprehensive,Petrol,5,48188,First Owner,Manual,2022,17,1462,1462.0,10326.0,8.25
1425,Hyundai i10,09,Comprehensive,Petrol,5,55000,First Owner,Manual,2009,20,1197,1197.0,789.0,1.51
1426,Hyundai Grand,13,Comprehensive,Petrol,5,24268,First Owner,Manual,2013,1197,82,82.0,114.0,2.85
1427,Hyundai Creta,19,Comprehensive,Diesel,5,23000,First Owner,Automatic,2019,17,1582,1582.0,1262.0,10.5
1428,MG Hector,20,Comprehensive,Petrol,5,38502,First Owner,Automatic,2020,13,1451,1451.0,141.0,13.75
1429,Hyundai Creta,17,Comprehensive,Diesel,5,35000,First Owner,Manual,2017,19,1582,1582.0,1262.0,7.5
1430,Kia Seltos,20,Comprehensive,Petrol,5,43487,First Owner,Manual,2020,16,1353,1353.0,13808.0,13.5
1431,Maruti Vitara,18,Comprehensive,Diesel,5,32000,First Owner,Automatic,2018,24,1248,1248.0,885.0,7.5
1432,Mercedes-Benz GLA,19,Third Party insurance,Diesel,5,14400,First Owner,Automatic,2019,17,2143,2143.0,136.0,24.0
1433,Volkswagen Polo,17,Comprehensive,Petrol,5,62920,First Owner,Manual,2017,1198,74,74.0,110.0,5.27
1434,Maruti A-Star,12,Comprehensive,Petrol,5,60467,First Owner,Manual,2012,19,998,998.0,661.0,2.8
1435,Hyundai i10,14,Comprehensive,Petrol,5,65017,Second Owner,Manual,2014,19,1086,1086.0,6805.0,2.25
1436,Maruti Swift,17,Comprehensive,Petrol,5,38015,First Owner,Manual,2017,21,1197,1197.0,8180.0,5.47
1437,Toyota Etios,17,Comprehensive,Petrol,5,49134,First Owner,Manual,2017,17,1197,1197.0,789.0,4.42
1438,Maruti Wagon,16,Comprehensive,Petrol,5,37100,Second Owner,Automatic,2016,21,998,998.0,6705.0,3.1
1439,Hyundai i20,21,Comprehensive,Petrol,5,69977,First Owner,Automatic,2021,20,998,998.0,11841.0,8.69
1440,Nissan Micra,17,Comprehensive,Petrol,5,16937,First Owner,Automatic,2017,19,1198,1198.0,7594.0,3.25
1441,Mahindra XUV500,18,Comprehensive,Diesel,7,51441,First Owner,Manual,2018,15,2179,2179.0,15287.0,10.71
1442,Maruti Swift,17,Comprehensive,Petrol,5,53947,First Owner,Automatic,2017,21,1197,1197.0,8180.0,5.62
1443,Kia Seltos,20,Comprehensive,Petrol,5,30000,First Owner,Manual,2020,16,1353,1353.0,13808.0,13.2
1444,Hyundai i20,15,Third Party,Petrol,5,40909,First Owner,Manual,2015,18,1197,1197.0,8183.0,4.35
1445,Mahindra TUV,19,Comprehensive,Diesel,7,70000,First Owner,Manual,2019,18,1493,1493.0,100.0,5.75
1446,Maruti Swift,11,Comprehensive,Petrol,5,69000,Second Owner,Manual,2011,17,1197,1197.0,858.0,2.25
1447,Honda Jazz,17,Comprehensive,Petrol,5,28662,First Owner,Manual,2017,18,1199,1199.0,887.0,3.85
1448,Tata Harrier,21,Comprehensive,Diesel,5,46912,First Owner,Automatic,2021,14,1956,1956.0,16767.0,16.25
