,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
1054,Honda Mobilio,14,Comprehensive,Diesel,7,89000,First Owner,Manual,2014,24,1498,1498.0,986.0,5.5
1055,Ford Ecosport,18,Comprehensive,Diesel,5,90000,First Owner,Manual,2018,21,1498,1498.0,9896.0,7.75
1056,Volkswagen Vento,17,Comprehensive,Diesel,5,109000,First Owner,Automatic,2017,22,1498,1498.0,1086.0,7.25
1057,Mahindra XUV300,21,Zero Dep,Diesel,5,66302,First Owner,Automatic,2021,19,1497,1497.0,11505.0,11.24
1058,Maruti Swift,12,Third Party insurance,Petrol,5,79247,First Owner,Manual,2012,22,1197,1197.0,8850.0,4.1
1059,Mini Cooper,17,Comprehensive,Petrol,5,46000,First Owner,Automatic,2017,13,1998,1998.0,192.0,33.0
1060,Maruti Baleno,18,Third Party,Diesel,5,82051,First Owner,Manual,2017,27,1248,1248.0,74.0,6.07
1061,Maruti Swift,21,Third Party insurance,Petrol,5,31655,First Owner,Manual,2021,22,1197,1197.0,8850.0,7.75
1062,Hyundai Grand,17,Comprehensive,Petrol,5,16000,First Owner,Manual,2017,18,1197,1197.0,8186.0,5.75
1063,Honda WR-V,19,Zero Dep,Diesel,5,59965,First Owner,Manual,2019,25,1498,1498.0,986.0,7.61
1064,Hyundai i20,09,Third Party insurance,Petrol,5,60000,Third Owner,Manual,2009,17,1197,1197.0,805200.0,1.75
1065,Maruti Baleno,17,Zero Dep,Petrol,5,103209,First Owner,Manual,2017,21,1197,1197.0,831.0,5.02
1066,Maruti Baleno,17,Third Party insurance,Petrol,5,29497,First Owner,Manual,2017,21,1197,1197.0,831.0,5.59
1067,Hyundai i10,12,Comprehensive,Petrol,5,51000,First Owner,Manual,2012,1197,789,789.0,1117.0,2.9
1068,Hyundai Grand,20,Third Party,Petrol,5,22849,First Owner,Automatic,2020,20,1197,1197.0,8186.0,6.83
1069,Hyundai i20,18,Third Party insurance,Diesel,5,66000,First Owner,Manual,2018,22,1396,1396.0,8873.0,5.75
1070,BMW X1,19,Third Party insurance,Diesel,5,43000,First Owner,Automatic,2019,20,1995,1995.0,190.0,29.5
1071,Maruti Vitara,19,Comprehensive,Diesel,5,68000,First Owner,Manual,2019,24,1248,1248.0,885.0,7.5
1072,Mercedes-Benz GLC,18,Comprehensive,Diesel,5,61000,First Owner,Automatic,2018,17,2143,2143.0,170.0,37.5
1073,Maruti Ciaz,18,Comprehensive,Petrol,5,35000,First Owner,Manual,2018,20,1462,1462.0,10325.0,6.8
1074,Maruti Baleno,19,Comprehensive,Petrol,5,47000,First Owner,Automatic,2019,19,1197,1197.0,8180.0,6.75
1075,Maruti Vitara,19,Third Party insurance,Diesel,5,54000,First Owner,Manual,2019,24,1248,1248.0,885.0,8.75
1076,Honda City,16,Zero Dep,Petrol,5,72000,First Owner,Automatic,2015,18,1497,1497.0,1173.0,6.15
1077,Maruti Alto,17,Third Party insurance,Petrol,5,62039,First Owner,Manual,2017,796,4733,4733.0,69.0,3.02
1078,Maruti Baleno,20,Comprehensive,Petrol,5,23428,First Owner,Manual,2020,21,1197,1197.0,8180.0,7.14
1079,Maruti SX4,17,Comprehensive,Diesel,5,53000,First Owner,Manual,2017,25,1248,1248.0,885.0,7.95
1080,Honda City,12,Comprehensive,Petrol,5,47925,First Owner,Manual,2012,16,1497,1497.0,1163.0,4.53
1081,Hyundai Grand,15,Third Party insurance,Petrol,5,59011,First Owner,Manual,2015,1197,82,82.0,114.0,4.26
1082,Mahindra Alturas,19,Comprehensive,Diesel,7,121281,First Owner,Automatic,2019,12,2157,2157.0,17849.0,17.51
1083,Hyundai Grand,19,Third Party,Petrol,5,63238,First Owner,Manual,2019,18,1197,1197.0,8186.0,5.15
1084,Honda City,14,Third Party insurance,Petrol,5,51376,First Owner,Automatic,2014,18,1497,1497.0,1173.0,6.0
1085,Hyundai i10,13,Comprehensive,Petrol,5,51196,First Owner,Manual,2013,1086,6805,6805.0,9904.0,3.19
1086,Hyundai Grand,18,Third Party insurance,Petrol,5,35898,Second Owner,Automatic,2018,18,1197,1197.0,8186.0,5.43
1087,BMW 5,18,Comprehensive,Diesel,5,40000,Second Owner,Automatic,2018,22,1995,1995.0,18774.0,34.5
1088,Maruti Ignis,18,Comprehensive,Petrol,5,19876,First Owner,Manual,2018,20,1197,1197.0,8180.0,4.92
1089,Maruti Swift,12,Comprehensive,Diesel,5,68000,First Owner,Manual,2012,22,1248,1248.0,74.0,4.1
1090,Honda Amaze,16,Comprehensive,Petrol,5,40451,First Owner,Manual,2016,18,1199,1199.0,8876.0,5.25
1091,Honda City,14,Third Party insurance,Petrol,5,60000,Second Owner,Manual,2014,17,1497,1497.0,1173.0,5.55
